캠페인 이름,광고 이름,광고 ID,일별,시간,비용,노출수,클릭수(목적지),CTR(목적지),전환수,전환당 비용,전환율(CVR),랜딩 페이지 조회(웹사이트),도달,통화
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,17,220,22,0,0.0,0,0,0.0,0,22,KRW
2603_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861074750911650,2026-04-08,5,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,8,173,16,0,0.0,0,0,0.0,0,16,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,9,92,7,0,0.0,0,0,0.0,0,7,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,7,183,16,0,0.0,0,0,0.0,0,16,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,10,384,14,0,0.0,0,0,0.0,0,14,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,1,126,9,0,0.0,0,0,0.0,0,9,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,11,447,14,0,0.0,0,0,0.0,0,14,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,12,101,12,0,0.0,0,0,0.0,0,12,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,23,104,21,0,0.0,0,0,0.0,0,20,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,0,29,4,0,0.0,0,0,0.0,0,4,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,13,159,19,0,0.0,0,0,0.0,0,19,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,4,24,6,0,0.0,0,0,0.0,0,5,KRW
